,SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE
11,42012,2544,0041200303,"MAY 26, 2013",MIA @ IND,W,41,8,17,0.471,0,1,0.0,6,6,1.0,0,4,4,3,0,0,0,0,22,22,1,2012-13,Playoffs
12,42012,2544,0041200302,"MAY 24, 2013",MIA vs. IND,L,45,14,20,0.7,3,7,0.429,5,7,0.714,4,4,8,3,3,1,5,3,36,-7,1,2012-13,Playoffs
13,42012,2544,0041200301,"MAY 22, 2013",MIA vs. IND,W,47,12,24,0.5,2,6,0.333,4,7,0.571,3,7,10,10,0,3,4,5,30,3,1,2012-13,Playoffs
14,42012,2544,0041200205,"MAY 15, 2013",MIA vs. CHI,W,44,5,14,0.357,1,3,0.333,12,15,0.8,0,7,7,8,2,0,2,3,23,4,1,2012-13,Playoffs
15,42012,2544,0041200204,"MAY 13, 2013",MIA @ CHI,W,43,9,20,0.45,1,4,0.25,8,9,0.889,0,7,7,8,2,0,5,0,27,27,1,2012-13,Playoffs
16,42012,2544,0041200203,"MAY 10, 2013",MIA @ CHI,W,44,6,17,0.353,2,4,0.5,11,11,1.0,0,8,8,7,2,0,1,0,25,7,1,2012-13,Playoffs
17,42012,2544,0041200202,"MAY 08, 2013",MIA vs. CHI,W,32,7,12,0.583,1,3,0.333,4,8,0.5,0,5,5,9,3,0,3,1,19,25,1,2012-13,Playoffs
18,42012,2544,0041200201,"MAY 06, 2013",MIA vs. CHI,L,44,8,17,0.471,1,3,0.333,7,9,0.778,2,6,8,7,2,1,2,2,24,-15,1,2012-13,Playoffs
19,42012,2544,0041200104,"APR 28, 2013",MIA @ MIL,W,41,13,20,0.65,0,2,0.0,4,7,0.571,2,6,8,7,3,1,5,3,30,16,0,2012-13,Playoffs
20,42012,2544,0041200103,"APR 25, 2013",MIA @ MIL,W,33,9,14,0.643,2,4,0.5,2,4,0.5,0,5,5,6,0,0,5,2,22,14,1,2012-13,Playoffs
21,42012,2544,0041200102,"APR 23, 2013",MIA vs. MIL,W,39,6,14,0.429,0,3,0.0,7,8,0.875,1,7,8,6,1,0,4,2,19,13,0,2012-13,Playoffs
22,42012,2544,0041200101,"APR 21, 2013",MIA vs. MIL,W,35,9,11,0.818,1,2,0.5,8,11,0.727,2,8,10,8,0,0,5,2,27,14,1,2012-13,Playoffs
0,22012,2544,0021201194,"APR 14, 2013",MIA vs. CHI,W,35,7,12,0.583,1,1,1.0,9,12,0.75,0,7,7,6,1,0,3,2,24,8,1,2012-13,Regular
1,22012,2544,0021201180,"APR 12, 2013",MIA vs. BOS,W,29,8,10,0.8,0,0,0.0,4,4,1.0,1,5,6,9,0,0,1,1,20,6,1,2012-13,Regular
2,22012,2544,0021201157,"APR 09, 2013",MIA vs. MIL,W,30,11,16,0.688,0,1,0.0,6,6,1.0,1,6,7,7,2,1,3,0,28,21,1,2012-13,Regular
3,22012,2544,0021201140,"APR 06, 2013",MIA vs. PHI,W,30,12,17,0.706,1,2,0.5,2,2,1.0,0,4,4,5,1,0,1,1,27,22,1,2012-13,Regular
4,22012,2544,0021201080,"MAR 29, 2013",MIA @ NOH,W,32,13,20,0.65,7,10,0.7,3,5,0.6,0,4,4,6,2,0,3,0,36,19,1,2012-13,Regular
5,22012,2544,0021201062,"MAR 27, 2013",MIA @ CHI,L,40,11,17,0.647,2,5,0.4,8,11,0.727,0,7,7,3,2,4,4,1,32,2,1,2012-13,Regular
6,22012,2544,0021201049,"MAR 25, 2013",MIA @ ORL,W,39,9,16,0.563,0,0,0.0,6,10,0.6,1,8,9,11,1,0,3,2,24,25,1,2012-13,Regular
7,22012,2544,0021201041,"MAR 24, 2013",MIA vs. CHA,W,34,11,14,0.786,0,1,0.0,10,11,0.909,0,8,8,10,3,3,4,0,32,22,1,2012-13,Regular
